title,rating,is_successful
10 Things I Hate About You,,0
12,,0
12 and Holding,,0
12 Monkeys,,0
12 Years a Slave,,0
127 Hours,,0
1492: Conquest of Paradise,,0
15 Minutes,,0
17 Again,,0
187,,0
2001: A Space Odyssey,,0
2012,,0
25th Hour,,0
30 Minutes or Less,,0
42,,0
44 Inch Chest,,0
48 Hrs.,,0
50-50,,0
500 Days of Summer,,0
8MM,,0
9,,0
A Few Good Men,,0
A Serious Man,,0
Above the Law,,0
Absolute Power,,0
"Abyss, The",,0
Ace Ventura: Pet Detective,,0
Adaptation,,0
"Addams Family, The",,0
"Adjustment Bureau, The",,0
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",,0
Affliction,,0
After School Special,,0
After.Life,,0
Agnes of God,,0
Air Force One,,0
Airplane,,0
Airplane 2: The Sequel,,0
Aladdin,,0
Ali,,0
Alien 3,,0
Alien Nation,,0
Alien vs. Predator,,0
Alien: Resurrection,,0
Aliens,,0
All About Eve,,0
All About Steve,,0
All the King's Men,,0
All the President's Men,,0
Almost Famous,,0
Alone in the Dark,,0
Amadeus,,0
Amelia,,0
American Beauty,,0
American Gangster,,0
American Graffiti,,0
American History X,,0
American Hustle,,0
American Madness,,0
American Outlaws,,0
American Pie,,0
"American President, The",,0
American Psycho,,0
American Shaolin: King of Kickboxers II,,0
American Splendor,,0
American Werewolf in London,,0
"American, The",,0
"Amityville Asylum, The",,0
Amour,,0
An Education,,0
Analyze That,,0
Analyze This,,0
Anastasia,,0
Angel Eyes,,0
Angels & Demons,,0
Anna Karenina,,0
Annie Hall,,0
"Anniversary Party, The",,0
Anonymous,,0
Antitrust,,0
Antz,,0
"Apartment, The",,0
Apocalypse Now,,0
April Fool's Day,,0
Apt Pupil,,0
Arbitrage,,0
Arcade,,0
Arctic Blue,,0
Argo,,0
Armageddon,,0
Army of Darkness,,0
Arsenic and Old Lace,,0
Arthur,,0
"Artist, The",,0
As Good As It Gets,,0
Assassins,,0
"Assignment, The",,0
At First Sight,,0
August: Osage County,,0
Austin Powers - International Man of Mystery,,0
Austin Powers - The Spy Who Shagged Me,,0
Authors Anonymous,,0
Autumn in New York,,0
Avatar,,0
"Avengers, The",,0
"Avengers, The (2012)",,0
"Avventura, L' (The Adventure)",,0
Awakenings,,0
Babel,,0
Bachelor Party,,0
"Bachelor Party, The",,0
"Back-up Plan, The",,0
Backdraft,,0
Bad Boys,,0
Bad Country,,0
Bad Day at Black Rock,,0
Bad Dreams,,0
Bad Lieutenant,,0
Bad Santa,,0
Bad Teacher,,0
Badlands,,0
Bamboozled,,0
Barry Lyndon,,0
Barton Fink,,0
Basic,,0
Basic Instinct,,0
Basquiat,,0
Batman,,0
Batman 2,,0
"Battle of Algiers, The",,0
"Battle of Shaker Heights, The",,0
Battle: Los Angeles,,0
"Beach, The",,0
Bean,,0
Beasts of the Southern Wild,,0
Beavis and Butt-head Do America,,0
Beginners,,0
Being Human,,0
Being John Malkovich,,0
Being There,,0
"Believer, The",,0
Beloved,,0
Benny & Joon,,0
"Best Exotic Marigold Hotel, The",,0
Big,,0
"Big Blue, The",,0
Big Fish,,0
"Big Lebowski, The",,0
"Big White, The",,0
"Birds, The",,0
Birthday Girl,,0
"Black Dahlia, The",,0
Black Rain,,0
Black Snake Moan,,0
Black Swan,,0
Blade,,0
Blade II,,0
Blade Runner,,0
Blade: Trinity,,0
"Blast from the Past, The",,0
"Blind Side, The",,0
"Bling Ring, The",,0
Blood and Wine,,0
Blood Simple,,0
Blow,,0
Blue Valentine,,0
Blue Velvet,,0
"Bodies, Rest & Motion",,0
Body Heat,,0
Body of Evidence,,0
Bodyguard,,0
Bones,,0
Bonfire of the Vanities,,0
Bonnie and Clyde,,0
Boogie Nights,,0
"Book of Eli, The",,0
Boondock Saints 2: All Saints Day,,0
"Boondock Saints, The",,0
Bottle Rocket,,0
Bound,,0
"Bounty Hunter, The",,0
"Bourne Identity, The",,0
"Bourne Supremacy, The",,0
"Bourne Ultimatum, The",,0
"Box, The",,0
Braveheart,,0
Brazil,,0
Break,,0
Breakdown,,0
"Breakfast Club, The",,0
Breaking Away,,0
Brick,,0
Bridesmaids,,0
Bringing Out the Dead,,0
Broadcast News,,0
Broken Arrow,,0
Broken Embraces,,0
"Brothers Bloom, The",,0
Bruce Almighty,,0
Buffy the Vampire Slayer,,0
Bull Durham,,0
Buried,,0
Burlesque,,0
Burn After Reading,,0
Burning Annie,,0
"Butterfly Effect, The",,0
Cable Guy,,0
Candle to Water,,0
Capote,,0
Carrie,,0
Cars 2,,0
Case 39,,0
Casino,,0
Cast Away,,0
Catch Me If You Can,,0
Catwoman,,0
Cecil B. Demented,,0
Cedar Rapids,,0
Celeste & Jesse Forever,,0
"Cell, The",,0
Cellular,,0
"Change-Up, The",,0
Changeling,,0
Chaos,,0
Charade,,0
Charlie's Angels,,0
Chasing Amy,,0
Chasing Sleep,,0
Cherry Falls,,0
Chinatown,,0
Christ Complex,,0
Chronicle,,0
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,0
"Cider House Rules, The",,0
"Cincinnati Kid, The",,0
Cinema Paradiso,,0
Cirque du Freak: The Vampire's Assistant,,0
Citizen Kane,,0
City of Joy,,0
Clash of the Titans,,0
Clerks,,0
Cliffhanger,,0
Clueless,,0
Cobb,,0
Code of Silence,,0
Cold Mountain,,0
Collateral,,0
Collateral Damage,,0
Colombiana,,0
Color of Night,,0
Commando,,0
Conan the Barbarian,,0
Confessions of a Dangerous Mind,,0
Confidence,,0
Constantine,,0
"Cooler, The",,0
Copycat,,0
Coraline,,0
Coriolanus,,0
Cowboys & Aliens,,0
Cradle 2 the Grave,,0
Crank,,0
Crash,,0
"Crazy, Stupid, Love",,0
Crazylove,,0
Creation,,0
Crime Spree,,0
"Croods, The",,0
"Crouching Tiger, Hidden Dragon",,0
Croupier,,0
"Crow Salvation, The",,0
"Crow, The",,0
"Crow: City of Angels, The",,0
Cruel Intentions,,0
Crying Game,,0
Cube,,0
"Curious Case of Benjamin Button, The",,0
Custody,,0
"Damned United, The",,0
Dances with Wolves,,0
Dark City,,0
"Dark Knight Rises, The",,0
Dark Star,,0
Darkman,,0
Date Night,,0
Dave Barry's Complete Guide to Guys,,0
Dawn of the Dead,,0
Day of the Dead,,0
"Day the Clown Cried, The",,0
"Day the Earth Stood Still, The",,0
Days of Heaven,,0
Dead Poets Society,,0
Death at a Funeral,,0
Death to Smoochy,,0
"Debt, The",,0
Deception,,0
Deep Cover,,0
Deep Rising,,0
"Deer Hunter, The",,0
Defiance,,0
"Departed, The",,0
"Descendants, The",,0
Despicable Me 2,,0
Detroit Rock City,,0
Devil in a Blue Dress,,0
Devil's Advocate,,0
Die Hard,,0
Die Hard 2,,0
Diner,,0
"Distinguished Gentleman, The",,0
Disturbia,,0
Django Unchained,,0
Do The Right Thing,,0
Dog Day Afternoon,,0
Dogma,,0
Donnie Brasco,,0
"Doors, The",,0
Double Indemnity,,0
Drag Me to Hell,,0
Dragonslayer,,0
Drive,,0
Drive Angry,,0
Drop Dead Gorgeous,,0
"Dry White Season, A",,0
Duck Soup,,0
Dumb and Dumber,,0
Dune,,0
E.T.,,0
Eagle Eye,,0
Eastern Promises,,0
Easy A,,0
Ed TV,,0
Ed Wood,,0
Edward Scissorhands,,0
Eight Legged Freaks,,0
El Mariachi,,0
Election,,0
"Elephant Man, The",,0
Elizabeth: The Golden Age,,0
Enemy of the State,,0
"English Patient, The",,0
Enough,,0
Entrapment,,0
Erik the Viking,,0
Erin Brockovich,,0
Escape From L.A.,,0
Escape From New York,,0
Eternal Sunshine of the Spotless Mind,,0
Even Cowgirls Get the Blues,,0
Event Horizon,,0
Evil Dead,,0
Evil Dead II: Dead by Dawn,,0
Excalibur,,0
eXistenZ,,0
Extract,,0
"Fabulous Baker Boys, The",,0
Face Off,,0
Fair Game,,0
"Family Man, The",,0
Fantastic Four,,0
Fantastic Mr Fox,,0
Fargo,,0
Fast Times at Ridgemont High,,0
Fatal Instinct,,0
"Fault in Our Stars, The",,0
Fear and Loathing in Las Vegas,,0
Feast,,0
Ferris Bueller's Day Off,,0
Field of Dreams,,0
"Fifth Element, The",,0
Fight Club,,0
"Fighter, The",,0
Final Destination,,0
Final Destination 2,,0
Finding Nemo,,0
Five Easy Pieces,,0
Flash Gordon,,0
Fletch,,0
Flight,,0
"Flintstones, The",,0
Forrest Gump,,0
Four Feathers,,0
Four Rooms,,0
Foxcatcher,,0
Fracture,,0
Frances,,0
Frankenstein,,0
Freaked,,0
Freddy vs. Jason,,0
"French Connection, The",,0
Frequency,,0
Friday the 13th,,0
Friday the 13th Part VIII: Jason Takes Manhattan,,0
Fright Night,,0
Fright Night (1985),,0
From Dusk Till Dawn,,0
From Here to Eternity,,0
Frozen,,0
Frozen (Disney),,0
Frozen River,,0
Fruitvale Station,,0
"Fugitive, The",,0
Funny People,,0
G.I. Jane,,0
G.I. Joe: The Rise of Cobra,,0
Game 6,,0
"Game, The",,0
Gamer,,0
Gandhi,,0
Gang Related,,0
Gangs of New York,,0
Garden State,,0
Gattaca,,0
Get Carter,,0
Get Low,,0
Get Shorty,,0
"Getaway, The",,0
Ghost,,0
"Ghost and the Darkness, The",,0
Ghost Rider,,0
Ghost Ship,,0
Ghost World,,0
Ghostbusters,,0
Ghostbusters 2,,0
Ginger Snaps,,0
"Girl with the Dragon Tattoo, The",,0
Gladiator,,0
Glengarry Glen Gross,,0
Go,,0
Godfather,,0
Godfather Part II,,0
"Godfather Part III, The",,0
Gods and Monsters,,0
Godzilla,,0
Gone in 60 Seconds,,0
"Good Girl, The",,0
Good Will Hunting,,0
Gothika,,0
"Graduate, The",,0
Gran Torino,,0
Grand Hotel,,0
Grand Theft Parsons,,0
"Grapes of Wrath, The",,0
Gravity,,0
"Green Mile, The",,0
Gremlins,,0
Gremlins 2,,0
"Grifters, The",,0
Grosse Point Blank,,0
Groundhog Day,,0
"Grudge, The",,0
Hackers,,0
Hall Pass,,0
Halloween: The Curse of Michael Myers,,0
Hancock,,0
"Hangover, The",,0
Hanna,,0
Hannah and Her Sisters,,0
Hannibal,,0
"Happy Birthday, Wanda June",,0
Happy Feet,,0
Hard Rain,,0
Hard to Kill,,0
Harold and Kumar Go to White Castle,,0
"Haunting, The",,0
He's Just Not That Into You,,0
Heat,,0
Heathers,,0
Heavenly Creatures,,0
Heavy Metal,,0
"Hebrew Hammer, The",,0
Heist,,0
Hellbound: Hellraiser II,,0
Hellboy,,0
Hellboy 2: The Golden Army,,0
Hellraiser,,0
Hellraiser 3: Hell on Earth,,0
Hellraiser: Deader,,0
Hellraiser: Hellseeker,,0
"Help, The",,0
Henry Fool,,0
Henry's Crime,,0
Hesher,,0
High Fidelity,,0
Highlander,,0
Highlander: Endgame,,0
"Hills Have Eyes, The",,0
His Girl Friday,,0
Hitchcock,,0
"Hitchhiker's Guide to the Galaxy, The",,0
Hollow Man,,0
Honeydripper,,0
Horrible Bosses,,0
"Horse Whisperer, The",,0
"Hospital, The",,0
Hostage,,0
Hot Tub Time Machine,,0
Hotel Rwanda,,0
House of 1000 Corpses,,0
How to Lose Friends & Alienate People,,0
How to Train Your Dragon,,0
How to Train Your Dragon 2,,0
Hudson Hawk,,0
"Hudsucker Proxy, The",,0
Human Nature,,0
"Hunt for Red October, The",,0
I Am Number Four,,0
I am Sam,,0
I Love You Phillip Morris,,0
I Spit on Your Grave,,0
I Still Know What You Did Last Summer,,0
I'll Do Anything,,0
"I, Robot",,0
"Ice Storm, The",,0
"Ides of March, The",,0
"Imaginarium of Doctor Parnassus, The",,0
In the Bedroom,,0
In the Loop,,0
Inception,,0
"Incredibles, The",,0
Independence Day,,0
Indiana Jones and the Last Crusade,,0
Indiana Jones and the Raiders of the Lost Ark,,0
Indiana Jones and the Temple of Doom,,0
Indiana Jones IV,,0
"Informant, The",,0
Inglourious Basterds,,0
"Insider, The",,0
Insidious,,0
Insomnia,,0
Interstellar,,0
Interview with the Vampire,,0
Into the Wild,,0
Intolerable Cruelty,,0
Inventing the Abbotts,,0
"Invention of Lying, The",,0
Invictus,,0
"Iron Lady, The",,0
"Island, The",,0
It Happened One Night,,0
It's a Wonderful Life,,0
It's Complicated,,0
"Italian Job, The",,0
"Jacket, The",,0
Jackie Brown,,0
Jacob's Ladder,,0
Jane Eyre,,0
Jason X,,0
Jaws,,0
Jaws 2,,0
Jay and Silent Bob Strike Back,,0
Jennifer Eight,,0
Jennifer's Body,,0
Jerry Maguire,,0
JFK,,0
Jimmy and Judy,,0
John Q,,0
Judge Dredd,,0
Juno,,0
Jurassic Park,,0
Jurassic Park III,,0
Jurassic Park: The Lost World,,0
Kafka,,0
Kalifornia,,0
Kate & Leopold,,0
Kids,,0
"Kids Are All Right, The",,0
Kill Bill Volume 1 & 2,,0
Killing Zoe,,0
King Kong,,0
"King of Comedy, The",,0
"King's Speech, The",,0
"Kingdom, The",,0
Klute,,0
Knocked Up,,0
Kramer vs Kramer,,0
Kundun,,0
Kung Fu Panda,,0
L.A. Confidential,,0
Labor of Love,,0
Labyrinth,,0
"Ladykillers, The",,0
Lake Placid,,0
Land of the Dead,,0
Larry Crowne,,0
"Last Boy Scout, The",,0
Last Chance Harvey,,0
"Last Flight, The",,0
"Last of the Mohicans, The",,0
"Last Samurai, The",,0
"Last Station, The",,0
Last Tango in Paris,,0
Law Abiding Citizen,,0
Leaving Las Vegas,,0
Legally Blonde,,0
Legend,,0
Legion,,0
Les Miserables,,0
Leviathan,,0
Liar Liar,,0
Life,,0
Life As A House,,0
"Life of David Gale, The",,0
Life of Pi,,0
Light Sleeper,,0
"Limey, The",,0
Limitless,,0
Lincoln,,0
"Lincoln Lawyer, The",,0
Little Athens,,0
"Little Mermaid, The",,0
Little Nicky,,0
Living in Oblivion,,0
"Lock, Stock and Two Smoking Barrels",,0
Logan's Run,,0
Lone Star,,0
"Long Kiss Goodnight, The",,0
Looper,,0
Lord of Illusions,,0
"Lord of the Rings: Fellowship of the Ring, The",,0
Lord of the Rings: Return of the King,,0
Lord of the Rings: The Two Towers,,0
Lord of War,,0
"Losers, The",,0
Lost Highway,,0
Lost Horizon,,0
Lost in Space,,0
Lost in Translation,,0
Love and Basketball,,0
Machete,,0
Machine Gun Preacher,,0
Mad Max 2: The Road Warrior,,0
Made,,0
Magnolia,,0
"Majestic, The (The Bijou)",,0
Major League,,0
Malcolm X,,0
Malibu's Most Wanted,,0
Man in the Iron Mask,,0
Man On Fire,,0
Man on the Moon,,0
Man Trouble,,0
"Man Who Knew Too Much, The",,0
"Man Who Wasn't There, The",,0
"Manchurian Candidate, The",,0
Manhattan Murder Mystery,,0
Manhunter,,0
Margaret,,0
Margin Call,,0
Margot at the Wedding,,0
"Mariachi, El",,0
Marley & Me,,0
Martha Marcy May Marlene,,0
Marty,,0
Mary Poppins,,0
"Mask, The",,0
Master and Commander,,0
"Master, The",,0
"Matrix Reloaded, The",,0
"Matrix, The",,0
Max Payne,,0
Mean Streets,,0
"Mechanic, The",,0
Meet Joe Black,,0
Meet John Doe,,0
Megamind,,0
Memento,,0
Men in Black,,0
Men in Black 3,,0
"Men Who Stare at Goats, The",,0
Metro,,0
Miami Vice,,0
Midnight Cowboy,,0
Midnight Express,,0
Midnight in Paris,,0
Mighty Morphin Power Rangers: The Movie,,0
Milk,,0
Miller's Crossing,,0
Mimic,,0
Mini's First Time,,0
Minority Report,,0
"Miracle Worker, The",,0
Mirrors,,0
Misery,,0
Mission Impossible,,0
Mission Impossible II,,0
Mission to Mars,,0
Moneyball,,0
Monkeybone,,0
Monte Carlo,,0
Moon,,0
Moonrise Kingdom,,0
Moonstruck,,0
Mr Blandings Builds His Dream House,,0
Mr Brooks,,0
Mr Deeds Goes to Town,,0
Mrs. Brown,,0
Mud,,0
Mulan,,0
Mulholland Drive,,0
Mumford,,0
"Mummy, The",,0
Music of the Heart,,0
Mute Witness,,0
My Best Friend's Wedding,,0
My Girl,,0
My Mother Dreams the Satan's Disciples in New York,,0
My Week with Marilyn,,0
Mystery Men,,0
Nashville,,0
Natural Born Killers,,0
Never Been Kissed,,0
"Neverending Story, The",,0
New York Minute,,0
Newsies,,0
Next,,0
Next Friday,,0
"Next Three Days, The",,0
Nick of Time,,0
Night Time (The Poltergeist Treatment),,0
Nightbreed,,0
"Nightmare Before Christmas, The",,0
"Nightmare on Elm Street, A",,0
Nightmare on Elm Street: The Final Chapter,,0
Nine,,0
"Nines, The",,0
Ninja Assassin,,0
Ninotchka,,0
"Ninth Gate, The",,0
No Strings Attached,,0
Notting Hill,,0
Nurse Betty,,0
O Brother Where Art Thou?,,0
Oblivion,,0
Observe and Report,,0
Obsessed,,0
Ocean's Eleven,,0
Ocean's Twelve,,0
Office Space,,0
Omega Man,,0
One Flew Over the Cuckoo's Nest,,0
Only God Forgives,,0
Ordinary People,,0
Orgy of the Dead,,0
Orphan,,0
"Other Boleyn Girl, The",,0
Out of Sight,,0
"Pacifier, The",,0
Pandorum,,0
Panic Room,,0
Papadopoulos & Sons,,0
ParaNorman,,0
Pariah,,0
"Passion of Joan of Arc, The",,0
"Patriot, The",,0
Paul,,0
Pearl Harbor,,0
Peeping Tom,,0
Peggy Sue Got Married,,0
Perfect Creature,,0
"Perfect World, A",,0
"Perks of Being a Wallflower, The",,0
Pet Sematary,,0
Pet Sematary II,,0
Petulia,,0
Philadelphia,,0
Phone Booth,,0
Pi,,0
"Pianist, The",,0
"Piano, The",,0
Pineapple Express,,0
Pirates of the Caribbean,,0
Pirates of the Caribbean: Dead Man's Chest,,0
Pitch Black,,0
"Planet of the Apes, The",,0
Platinum Blonde,,0
Platoon,,0
Pleasantville,,0
Point Break,,0
Pokemon: Mewtwo Returns,,0
"Postman, The",,0
"Power of One, The",,0
Precious,,0
Predator,,0
Pretty Woman,,0
Pride and Prejudice,,0
Priest,,0
"Princess Bride, The",,0
"Private Life of Sherlock Holmes, The",,0
"Producer, The",,0
"Program, The",,0
Prom Night,,0
Prometheus,,0
"Prophecy, The",,0
"Proposal, The",,0
Psycho,,0
Public Enemies,,0
Pulp Fiction,,0
Punch-Drunk Love,,0
Purple Rain,,0
Quantum Project,,0
Queen of the Damned,,0
"Queen, The",,0
Rachel Getting Married,,0
Raging Bull,,0
Raising Arizona,,0
Rambling Rose,,0
Rambo: First Blood II: The Mission,,0
"Reader, The",,0
Real Genius,,0
Rear Window,,0
Rebel Without A Cause,,0
Red Planet,,0
Red Riding Hood,,0
Reindeer Games,,0
"Relic, The",,0
Remember Me,,0
"Replacements, The",,0
Repo Man,,0
"Rescuers Down Under, The",,0
Reservoir Dogs,,0
Resident Evil,,0
Return of the Apes,,0
"Revenant, The",,0
Revolutionary Road,,0
Ringu,,0
Rise of the Guardians,,0
Rise of the Planet of the Apes,,0
RKO 281,,0
"Road, The",,0
Robin Hood: Prince of Thieves,,0
"Rock, The",,0
RocknRolla,,0
Rocky,,0
"Rocky Horror Picture Show, The",,0
Romeo & Juliet,,0
Ronin,,0
"Roommate, The",,0
Roughshod,,0
"Ruins, The",,0
Runaway Bride,,0
Rush,,0
Rush Hour,,0
Rush Hour 2,,0
Rushmore,,0
Rust and Bone,,0
S. Darko,,0
"Saint, The",,0
"Salton Sea, The",,0
"Sandlot Kids, The",,0
Save the Last Dance,,0
Saving Mr. Banks,,0
Saving Private Ryan,,0
Saw,,0
Scarface,,0
Schindler's List,,0
Scott Pilgrim vs the World,,0
Scream,,0
Scream 2,,0
Scream 3,,0
Se7en,,0
"Searchers, The",,0
Semi-Pro,,0
Sense and Sensibility,,0
Serenity,,0
Serial Mom,,0
"Sessions, The",,0
"Seventh Seal, The",,0
Sex and the City,,0
"Sex, Lies and Videotape",,0
Sexual Life,,0
Shakespeare in Love,,0
Shallow Grave,,0
Shame,,0
Shampoo,,0
"Shawshank Redemption, The",,0
She's Out of My League,,0
Sherlock Holmes,,0
Shifty,,0
"Shining, The",,0
"Shipping News, The",,0
Shivers,,0
Shrek,,0
Shrek the Third,,0
Sideways,,0
"Siege, The",,0
Signs,,0
Silence of the Lambs,,0
Silver Bullet,,0
Silver Linings Playbook,,0
Simone,,0
Single White Female,,0
Sister Act,,0
Six Degrees of Separation,,0
"Sixth Sense, The",,0
Sleepless in Seattle,,0
Sleepy Hollow,,0
Sling Blade,,0
Slither,,0
Slumdog Millionaire,,0
Smashed,,0
Smokin' Aces,,0
Snatch,,0
Snow Falling On Cedars,,0
Snow White and the Huntsman,,0
So I Married an Axe Murderer,,0
"Social Network, The",,0
Solaris,,0
Soldier,,0
Someone To Watch Over Me,,0
Something's Gotta Give,,0
Source Code,,0
South Park,,0
Spanglish,,0
Spare Me,,0
Spartan,,0
Speed Racer,,0
Sphere,,0
Spider-Man,,0
St. Elmo's Fire,,0
Star Trek,,0
Star Trek II: The Wrath of Khan,,0
Star Trek: First Contact,,0
Star Trek: Generations,,0
Star Trek: Nemesis,,0
Star Trek: The Motion Picture,,0
Star Wars: A New Hope,,0
Star Wars: Attack of the Clones,,0
Star Wars: Return of the Jedi,,0
Star Wars: Revenge of the Sith,,0
Star Wars: The Empire Strikes Back,,0
Star Wars: The Force Awakens,,0
Star Wars: The Phantom Menace,,0
Starman,,0
Starship Troopers,,0
State and Main,,0
Station West,,0
Stepmom,,0
"Sting, The",,0
Stir of Echoes,,0
Storytelling,,0
Strange Days,,0
Strangers on a Train,,0
"Stuntman, The",,0
Sugar,,0
Sugar and Spice,,0
Sunset Blvd.,,0
Sunshine Cleaning,,0
Super 8,,0
Superbad,,0
Supergirl,,0
"Surfer King, The",,0
Surrogates,,0
Suspect Zero,,0
Sweeney Todd: The Demon Barber of Fleet Street,,0
"Sweet Hereafter, The",,0
Sweet Smell of Success,,0
Swingers,,0
Swordfish,,0
"Synecdoche, New York",,0
Syriana,,0
Take Shelter,,0
Taking Lives,,0
"Taking of Pelham One Two Three, The",,0
Taking Sides,,0
"Talented Mr. Ripley, The",,0
Tall in the Saddle,,0
Tamara Drewe,,0
Taxi Driver,,0
Ted,,0
Terminator,,0
Terminator 2: Judgement Day,,0
Terminator Salvation,,0
The Rage: Carrie 2,,0
Thelma & Louise,,0
There's Something About Mary,,0
They,,0
"Thing, The",,0
"Things My Father Never Taught Me, The",,0
Thirteen Days,,0
This Boy's Life,,0
This is 40,,0
Thor,,0
Three Kings,,0
Three Kings (Spoils of War),,0
Three Men and a Baby,,0
"Three Musketeers, The",,0
Thunderbirds,,0
Thunderheart,,0
Ticker,,0
Timber Falls,,0
"Time Machine, The",,0
Tin Cup,,0
Tin Men,,0
Tinker Tailor Soldier Spy,,0
Titanic,,0
TMNT,,0
To Sleep with Anger,,0
Tombstone,,0
Tomorrow Never Dies,,0
Top Gun,,0
Total Recall,,0
"Tourist, The",,0
Toy Story,,0
Traffic,,0
Training Day,,0
Trainspotting,,0
Transformers: The Movie,,0
Tremors,,0
Tristan and Isolde,,0
TRON,,0
TRON: Legacy,,0
Tropic Thunder,,0
True Grit,,0
True Lies,,0
True Romance,,0
"Truman Show, The",,0
Twilight,,0
Twilight: New Moon,,0
Twin Peaks,,0
Twins,,0
Two For The Money,,0
U Turn,,0
"Ugly Truth, The",,0
Unbreakable,,0
Under Fire,,0
Unknown,,0
Up,,0
Up in the Air,,0
"Usual Suspects, The",,0
V for Vendetta,,0
Valkyrie,,0
Vanilla Sky,,0
"Verdict, The",,0
Very Bad Things,,0
"Village, The",,0
Virtuosity,,0
"Visitor, The",,0
Wag the Dog,,0
"Walk to Remember, A",,0
Walking Tall,,0
Wall Street,,0
Wall Street: Money Never Sleeps,,0
Wall-E,,0
Wanted,,0
War Horse,,0
War of the Worlds,,0
Warm Springs,,0
Warrior,,0
Watchmen,,0
Water for Elephants,,0
"Way Back, The",,0
We Own the Night,,0
What About Bob?,,0
What Lies Beneath,,0
When a Stranger Calls,,0
While She Was Out,,0
"Whistleblower, The",,0
White Christmas,,0
White Jazz,,0
"White Ribbon, The",,0
White Squall,,0
Whiteout,,0
Who Framed Roger Rabbit?,,0
Who's Your Daddy,,0
Wild At Heart,,0
"Wild Bunch, The",,0
Wild Hogs,,0
Wild Things,,0
Wild Things: Diamonds in the Rough,,0
Wild Wild West,,0
Willow,,0
Win Win,,0
Wind Chill,,0
Withnail and I,,0
Witness,,0
"Wizard of Oz, The",,0
"Wolf of Wall Street, The",,0
Wonder Boys,,0
"Woodsman, The",,0
"World is not Enough, The",,0
"Wrestler, The",,0
"X-Files: Fight the Future, The",,0
X-Men,,0
X-Men Origins: Wolverine,,0
xXx,,0
Year One,,0
Yes Man,,0
You Can Count On Me,,0
You've Got Mail,,0
Youth in Revolt,,0
Zero Dark Thirty,,0
Zerophilia,,0
