variant,fold,threshold,n_train,n_test,train_low,train_high,test_low,test_high,accuracy,balanced_accuracy,macro_f1,roc_auc,low_recall,high_recall,pred_low_count,pred_high_count,tn,fp,fn,tp,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,confident_coverage,confident_accuracy,confident_balanced_accuracy
word_only,1,0.5,498,125,257,241,64,61,0.64,0.6403688524590163,0.64,0.744108606557377,0.625,0.6557377049180327,61,64,40,24,21,40,0.512,0.5,0.3386243386243386,0.136,0.8823529411764706,0.8819444444444444
word_only,2,0.5,498,125,257,241,64,61,0.728,0.7266905737704918,0.7265826042202779,0.8043032786885247,0.78125,0.6721311475409836,70,55,50,14,20,41,0.512,0.5,0.3386243386243386,0.136,0.8823529411764706,0.875
word_only,3,0.5,498,125,256,242,65,60,0.728,0.7262820512820514,0.7265826042202779,0.7510256410256411,0.7692307692307693,0.6833333333333333,69,56,50,15,19,41,0.52,0.5,0.34210526315789475,0.16,0.85,0.8516483516483516
word_only,4,0.5,499,124,257,242,64,60,0.717741935483871,0.7182291666666667,0.7177235772357724,0.7747395833333334,0.703125,0.7333333333333333,61,63,45,19,16,44,0.5161290322580645,0.5,0.3404255319148936,0.1532258064516129,0.9473684210526315,0.9545454545454546
word_only,5,0.5,499,124,257,242,64,60,0.6612903225806451,0.6583333333333333,0.6569169960474308,0.7440104166666666,0.75,0.5666666666666667,74,50,48,16,26,34,0.5161290322580645,0.5,0.3404255319148936,0.1693548387096774,0.9047619047619048,0.8990384615384616
char_only,1,0.5,498,125,257,241,64,61,0.648,0.6470286885245902,0.6468926553672316,0.7405225409836066,0.6875,0.6065573770491803,68,57,44,20,24,37,0.512,0.5,0.3386243386243386,0.088,0.9090909090909091,0.875
char_only,2,0.5,498,125,257,241,64,61,0.704,0.7028688524590163,0.7027825975194396,0.7848360655737704,0.75,0.6557377049180327,69,56,48,16,21,40,0.512,0.5,0.3386243386243386,0.16,0.8,0.7916666666666667
char_only,3,0.5,498,125,256,242,65,60,0.72,0.717948717948718,0.7181964573268921,0.7743589743589744,0.7692307692307693,0.6666666666666666,70,55,50,15,20,40,0.52,0.5,0.34210526315789475,0.152,0.8421052631578947,0.8083333333333333
char_only,4,0.5,499,124,257,242,64,60,0.7016129032258065,0.7015625,0.7014381466779462,0.7695312499999999,0.703125,0.7,63,61,45,19,18,42,0.5161290322580645,0.5,0.3404255319148936,0.14516129032258066,0.8888888888888888,0.8875
char_only,5,0.5,499,124,257,242,64,60,0.7096774193548387,0.7072916666666667,0.7069327731092437,0.7416666666666667,0.78125,0.6333333333333333,72,52,50,14,22,38,0.5161290322580645,0.5,0.3404255319148936,0.16129032258064516,0.85,0.8535353535353536
numeric_only,1,0.5,498,125,257,241,64,61,0.576,0.5751793032786885,0.5750208480338701,0.6639344262295082,0.609375,0.5409836065573771,67,58,39,25,28,33,0.512,0.5,0.3386243386243386,0.272,0.7647058823529411,0.7673611111111112
numeric_only,2,0.5,498,125,257,241,64,61,0.648,0.6466444672131147,0.646165723108595,0.688780737704918,0.703125,0.5901639344262295,70,55,45,19,25,36,0.512,0.5,0.3386243386243386,0.312,0.6666666666666666,0.6671052631578948
numeric_only,3,0.5,498,125,256,242,65,60,0.624,0.6230769230769231,0.623131695426262,0.6443589743589743,0.6461538461538462,0.6,66,59,42,23,24,36,0.52,0.5,0.34210526315789475,0.272,0.7058823529411765,0.7017543859649122
numeric_only,4,0.5,499,124,257,242,64,60,0.6048387096774194,0.603125,0.602745995423341,0.5921875000000001,0.65625,0.55,69,55,42,22,27,33,0.5161290322580645,0.5,0.3404255319148936,0.31451612903225806,0.6153846153846154,0.6358695652173914
numeric_only,5,0.5,499,124,257,242,64,60,0.5564516129032258,0.553125,0.5498646953996436,0.6341145833333334,0.65625,0.45,75,49,42,22,33,27,0.5161290322580645,0.5,0.3404255319148936,0.27419354838709675,0.7058823529411765,0.7048611111111112
word_char,1,0.5,498,125,257,241,64,61,0.68,0.6794313524590163,0.6794871794871795,0.7579405737704917,0.703125,0.6557377049180327,66,59,45,19,21,40,0.512,0.5,0.3386243386243386,0.304,0.8947368421052632,0.8916666666666666
word_char,2,0.5,498,125,257,241,64,61,0.744,0.7426997950819672,0.7426659804426146,0.8060963114754098,0.796875,0.6885245901639344,70,55,51,13,19,42,0.512,0.5,0.3386243386243386,0.28,0.8,0.8006535947712419
word_char,3,0.5,498,125,256,242,65,60,0.736,0.7346153846153847,0.734914208598419,0.77,0.7692307692307693,0.7,68,57,50,15,18,42,0.52,0.5,0.34210526315789475,0.288,0.8611111111111112,0.8714285714285714
word_char,4,0.5,499,124,257,242,64,60,0.717741935483871,0.71875,0.7177235772357724,0.7817708333333333,0.6875,0.75,59,65,44,20,15,45,0.5161290322580645,0.5,0.3404255319148936,0.28225806451612906,0.8285714285714286,0.8273026315789473
word_char,5,0.5,499,124,257,242,64,60,0.7096774193548387,0.7072916666666667,0.7069327731092437,0.759375,0.78125,0.6333333333333333,72,52,50,14,22,38,0.5161290322580645,0.5,0.3404255319148936,0.3387096774193548,0.8333333333333334,0.8295194508009154
full,1,0.5,498,125,257,241,64,61,0.68,0.6794313524590163,0.6794871794871795,0.765625,0.703125,0.6557377049180327,66,59,45,19,21,40,0.512,0.5,0.3386243386243386,0.392,0.8571428571428571,0.8574999999999999
full,2,0.5,498,125,257,241,64,61,0.736,0.7352715163934427,0.7353903393418436,0.8002049180327868,0.765625,0.7049180327868853,67,58,49,15,18,43,0.512,0.5,0.3386243386243386,0.48,0.8,0.7986651835372636
full,3,0.5,498,125,256,242,65,60,0.704,0.7019230769230769,0.7020933977455717,0.7405128205128205,0.7538461538461538,0.65,70,55,49,16,21,39,0.52,0.5,0.34210526315789475,0.448,0.8035714285714286,0.8032258064516129
full,4,0.5,499,124,257,242,64,60,0.6854838709677419,0.6838541666666667,0.6838182412553122,0.7223958333333333,0.734375,0.6333333333333333,69,55,47,17,22,38,0.5161290322580645,0.5,0.3404255319148936,0.41935483870967744,0.6923076923076923,0.6904761904761905
full,5,0.5,499,124,257,242,64,60,0.6693548387096774,0.6666666666666667,0.665680278818965,0.7281249999999999,0.75,0.5833333333333334,73,51,48,16,25,35,0.5161290322580645,0.5,0.3404255319148936,0.4838709677419355,0.7833333333333333,0.7794612794612794
masked_full,1,0.5,498,125,257,241,64,61,0.688,0.6872438524590163,0.6872794919494516,0.7633196721311476,0.71875,0.6557377049180327,67,58,46,18,21,40,0.512,0.5,0.3386243386243386,0.4,0.86,0.8605769230769231
masked_full,2,0.5,498,125,257,241,64,61,0.752,0.7516649590163935,0.7517457876865911,0.8022540983606558,0.765625,0.7377049180327869,65,60,49,15,16,45,0.512,0.5,0.3386243386243386,0.48,0.8,0.7986651835372636
masked_full,3,0.5,498,125,256,242,65,60,0.704,0.7019230769230769,0.7020933977455717,0.7428205128205129,0.7538461538461538,0.65,70,55,49,16,21,39,0.52,0.5,0.34210526315789475,0.448,0.8214285714285714,0.8232258064516129
masked_full,4,0.5,499,124,257,242,64,60,0.6854838709677419,0.6838541666666667,0.6838182412553122,0.7203124999999999,0.734375,0.6333333333333333,69,55,47,17,22,38,0.5161290322580645,0.5,0.3404255319148936,0.41935483870967744,0.6923076923076923,0.6904761904761905
masked_full,5,0.5,499,124,257,242,64,60,0.6693548387096774,0.6666666666666667,0.665680278818965,0.7309895833333332,0.75,0.5833333333333334,73,51,48,16,25,35,0.5161290322580645,0.5,0.3404255319148936,0.46774193548387094,0.7758620689655172,0.769090909090909
